tweeter_screen_name,AGAINST,FOR,NOT_AGAINST,tweeter_label
GreenHither,1.0,0.0,0.0,AGAINST
XPoseHQ,1.0,0.0,0.0,AGAINST
agdoll,1.0,0.0,0.0,AGAINST
DianaDa96060767,1.0,0.0,1.0,NOT_AGAINST
_zzman35,1.0,0.0,0.0,AGAINST
LindaHa22197264,1.0,0.0,1.0,NOT_AGAINST
AmirZaidain,1.0,0.0,0.0,AGAINST
CTSR7320,1.0,0.0,0.0,AGAINST
nighthawkins,3.0,0.0,0.0,AGAINST
Safeersoomro01,1.0,0.0,0.0,AGAINST
yazzooguy,3.0,0.0,0.0,AGAINST
Arnold__Simon,1.0,0.0,0.0,AGAINST
SInspHelps,1.0,0.0,0.0,AGAINST
CTighfield,1.0,0.0,0.0,AGAINST
Evi_Cy,1.0,0.0,0.0,AGAINST
AngloRadix,2.0,0.0,0.0,AGAINST
EugestShirley,0.0,0.0,1.0,NOT_AGAINST
InspMo,1.0,0.0,0.0,AGAINST
LynBern96289618,1.0,0.0,1.0,NOT_AGAINST
SimonHorne16,1.0,0.0,0.0,AGAINST
colinelliott535,1.0,0.0,0.0,AGAINST
DagenhamMKIII,1.0,0.0,0.0,AGAINST
Waterford212,1.0,0.0,0.0,AGAINST
thx22099,1.0,0.0,0.0,AGAINST
HarleyTales,1.0,0.0,0.0,AGAINST
LMnufc87,1.0,0.0,0.0,AGAINST
CliveTiz,1.0,0.0,0.0,AGAINST
AGKD123,1.0,0.0,0.0,AGAINST
Blue_Revolt1986,1.0,0.0,0.0,AGAINST
duckford10,1.0,0.0,0.0,AGAINST
teejaykent,1.0,0.0,0.0,AGAINST
anthowcwm,1.0,0.0,0.0,AGAINST
Spiritual_Tree_,1.0,0.0,1.0,NOT_AGAINST
Fat_Red,1.0,0.0,0.0,AGAINST
frenchgranny,2.0,0.0,0.0,AGAINST
harbro,1.0,0.0,0.0,AGAINST
CourtNewsUK,2.0,0.0,0.0,AGAINST
Jim03634886,1.0,0.0,0.0,AGAINST
mcelhearn,1.0,0.0,0.0,AGAINST
SargeCraig667,1.0,0.0,0.0,AGAINST
Fedupcivvy,1.0,0.0,0.0,AGAINST
MPS_n_P,1.0,0.0,0.0,AGAINST
BTPUnderground,1.0,0.0,0.0,AGAINST
Irishmosher,1.0,0.0,0.0,AGAINST
n7gooner72,1.0,0.0,0.0,AGAINST
BoyInBlue999,1.0,0.0,0.0,AGAINST
isolabella2020,1.0,0.0,0.0,AGAINST
mjf1982,1.0,0.0,0.0,AGAINST
janamb,1.0,0.0,0.0,AGAINST
rajkotkeith,1.0,0.0,0.0,AGAINST
PcAndyLong,1.0,0.0,0.0,AGAINST
Terryathorpe,1.0,0.0,0.0,AGAINST
SC__Dan,1.0,0.0,0.0,AGAINST
stretchelliott,1.0,0.0,0.0,AGAINST
BedsBucksRSC,1.0,0.0,0.0,AGAINST
chr1saybrown,1.0,0.0,0.0,AGAINST
