lsoa_code,lsoa_name,total_19,population,borough,total_17,total_19_1000,total_17_1000,pct_change,pct_change_abs,crime_cohort,change_cohort
E01003553,Newham 009B,34,1885,Newham,42.0,18.03713527851459,22.281167108753316,-0.1904761904761904,0.1904761904761904,lower_crime,lower_change
E01003554,Newham 009C,17,1988,Newham,21.0,8.551307847082494,10.56338028169014,-0.19047619047619047,0.19047619047619047,lower_crime,lower_change
E01003555,Newham 007B,17,1925,Newham,6.0,8.831168831168831,3.116883116883117,1.8333333333333333,1.8333333333333333,lower_crime,top_50
E01003556,Newham 008A,73,2076,Newham,69.0,35.163776493256265,33.23699421965318,0.057971014492753783,0.057971014492753783,top_250,lower_change
E01003557,Newham 006D,33,2195,Newham,44.0,15.034168564920273,20.045558086560366,-0.25000000000000006,0.25000000000000006,lower_crime,lower_change
E01003558,Newham 008B,70,1717,Newham,102.0,40.768782760629,59.40594059405941,-0.31372549019607854,0.31372549019607854,top_50,lower_change
E01003559,Newham 009D,23,2627,Newham,37.0,8.755234107346784,14.084507042253522,-0.3783783783783784,0.3783783783783784,lower_crime,lower_change
E01003560,Newham 011B,11,1801,Newham,15.0,6.107717934480844,8.32870627429206,-0.26666666666666666,0.26666666666666666,lower_crime,lower_change
E01003561,Newham 007C,9,1962,Newham,14.0,4.587155963302752,7.135575942915392,-0.3571428571428571,0.3571428571428571,lower_crime,lower_change
E01003562,Newham 014A,16,2172,Newham,33.0,7.366482504604051,15.193370165745856,-0.5151515151515151,0.5151515151515151,lower_crime,lower_change
E01003563,Newham 011C,19,2272,Newham,16.0,8.362676056338028,7.042253521126761,0.18749999999999992,0.18749999999999992,lower_crime,lower_change
E01003564,Newham 014B,23,2543,Newham,27.0,9.044435705859222,10.617381046008651,-0.1481481481481481,0.1481481481481481,lower_crime,lower_change
E01003565,Newham 014C,15,1971,Newham,14.0,7.610350076103501,7.102993404363267,0.0714285714285715,0.0714285714285715,lower_crime,lower_change
E01003566,Newham 014D,48,1976,Newham,31.0,24.291497975708502,15.68825910931174,0.5483870967741936,0.5483870967741936,lower_crime,top_250
E01003567,Newham 007D,12,1916,Newham,16.0,6.263048016701461,8.350730688935283,-0.2500000000000001,0.2500000000000001,lower_crime,lower_change
E01003568,Newham 017A,19,2334,Newham,14.0,8.140531276778063,5.998286203941731,0.357142857142857,0.357142857142857,lower_crime,lower_change
E01003569,Newham 017B,89,2037,Newham,43.0,43.69170348551792,21.10947471772214,1.0697674418604652,1.0697674418604652,lower_crime,top_50
E01003570,Newham 008C,52,1971,Newham,43.0,26.382546930492136,21.816336884830037,0.2093023255813953,0.2093023255813953,lower_crime,lower_change
E01003571,Newham 008D,27,2139,Newham,17.0,12.622720897615709,7.947639083683964,0.5882352941176472,0.5882352941176472,lower_crime,top_250
E01003572,Newham 008E,20,1788,Newham,14.0,11.185682326621924,7.829977628635347,0.42857142857142855,0.42857142857142855,lower_crime,lower_change
E01003573,Newham 017C,13,2143,Newham,23.0,6.066262249183388,10.732617825478302,-0.4347826086956522,0.4347826086956522,lower_crime,lower_change
E01003574,Newham 017D,42,2568,Newham,39.0,16.35514018691589,15.186915887850468,0.076923076923077,0.076923076923077,lower_crime,lower_change
E01003575,Newham 005B,13,1765,Newham,30.0,7.36543909348442,16.997167138810198,-0.5666666666666667,0.5666666666666667,lower_crime,lower_change
E01003576,Newham 002A,34,2036,Newham,42.0,16.69941060903733,20.6286836935167,-0.19047619047619038,0.19047619047619038,lower_crime,lower_change
E01003577,Newham 005C,19,2189,Newham,26.0,8.67976244860667,11.87756966651439,-0.26923076923076916,0.26923076923076916,lower_crime,lower_change
E01003578,Newham 003A,31,2215,Newham,35.0,13.99548532731377,15.801354401805868,-0.11428571428571428,0.11428571428571428,lower_crime,lower_change
E01003579,Newham 004A,23,1941,Newham,25.0,11.84956208140134,12.87995878413189,-0.07999999999999996,0.07999999999999996,lower_crime,lower_change
E01003580,Newham 005D,23,2029,Newham,23.0,11.335633316904879,11.335633316904879,0.0,0.0,lower_crime,lower_change
E01003581,Newham 002B,15,1949,Newham,11.0,7.6962544894817855,5.643919958953309,0.3636363636363637,0.3636363636363637,lower_crime,lower_change
E01003582,Newham 002C,13,1782,Newham,21.0,7.295173961840629,11.784511784511784,-0.3809523809523809,0.3809523809523809,lower_crime,lower_change
E01003583,Newham 002D,12,1902,Newham,8.0,6.309148264984227,4.206098843322818,0.5000000000000001,0.5000000000000001,lower_crime,top_250
E01003584,Newham 003B,9,1977,Newham,15.0,4.552352048558422,7.587253414264036,-0.3999999999999999,0.3999999999999999,lower_crime,lower_change
E01003585,Newham 004B,13,1608,Newham,18.0,8.08457711442786,11.194029850746269,-0.2777777777777778,0.2777777777777778,lower_crime,lower_change
E01003586,Newham 003C,21,1936,Newham,27.0,10.847107438016529,13.946280991735538,-0.22222222222222224,0.22222222222222224,lower_crime,lower_change
E01003587,Newham 004C,33,2527,Newham,22.0,13.058963197467353,8.705975464978236,0.4999999999999999,0.4999999999999999,lower_crime,top_250
E01003588,Newham 011D,12,1743,Newham,16.0,6.884681583476764,9.179575444635686,-0.25000000000000006,0.25000000000000006,lower_crime,lower_change
E01003589,Newham 011E,15,1956,Newham,15.0,7.668711656441718,7.668711656441718,0.0,0.0,lower_crime,lower_change
E01003590,Newham 003D,26,1601,Newham,27.0,16.239850093691444,16.864459712679576,-0.03703703703703697,0.03703703703703697,lower_crime,lower_change
E01003591,Newham 004D,39,2346,Newham,55.0,16.624040920716112,23.444160272804773,-0.2909090909090909,0.2909090909090909,lower_crime,lower_change
E01003592,Newham 022B,37,1862,Newham,32.0,19.87110633727175,17.185821697099893,0.15624999999999997,0.15624999999999997,lower_crime,lower_change
E01003593,Newham 027D,27,1557,Newham,18.0,17.341040462427745,11.560693641618498,0.49999999999999994,0.49999999999999994,lower_crime,top_250
E01003594,Newham 026A,26,1854,Newham,13.0,14.023732470334412,7.011866235167206,1.0,1.0,lower_crime,top_50
E01003595,Newham 026B,25,1816,Newham,16.0,13.766519823788546,8.810572687224669,0.5625000000000001,0.5625000000000001,lower_crime,top_250
E01003596,Newham 016B,10,1926,Newham,13.0,5.192107995846314,6.749740394600208,-0.23076923076923073,0.23076923076923073,lower_crime,lower_change
E01003597,Newham 016C,9,1582,Newham,8.0,5.689001264222503,5.056890012642225,0.12499999999999989,0.12499999999999989,lower_crime,lower_change
E01003598,Newham 021A,34,2022,Newham,21.0,16.81503461918892,10.385756676557863,0.6190476190476191,0.6190476190476191,lower_crime,top_250
E01003599,Newham 022C,22,1645,Newham,23.0,13.373860182370821,13.98176291793313,-0.04347826086956515,0.04347826086956515,lower_crime,lower_change
E01003600,Newham 021B,31,1741,Newham,31.0,17.805858701895463,17.805858701895463,0.0,0.0,lower_crime,lower_change
E01003601,Newham 028A,108,2240,Newham,56.0,48.214285714285715,25.0,0.9285714285714286,0.9285714285714286,lower_crime,top_50
E01003602,Newham 026C,22,2088,Newham,31.0,10.53639846743295,14.846743295019158,-0.29032258064516137,0.29032258064516137,lower_crime,lower_change
E01003603,Newham 028B,33,2041,Newham,57.0,16.168544830965214,27.92748652621264,-0.42105263157894735,0.42105263157894735,lower_crime,lower_change
E01003604,Newham 031D,24,2364,Newham,39.0,10.152284263959391,16.497461928934012,-0.3846153846153847,0.3846153846153847,lower_crime,lower_change
E01003605,Newham 028C,17,2310,Newham,21.0,7.359307359307359,9.090909090909092,-0.19047619047619055,0.19047619047619055,lower_crime,lower_change
E01003606,Newham 022D,39,2938,Newham,67.0,13.274336283185841,22.804628999319267,-0.41791044776119407,0.41791044776119407,lower_crime,lower_change
E01003607,Newham 026D,34,1835,Newham,21.0,18.52861035422343,11.444141689373296,0.619047619047619,0.619047619047619,lower_crime,top_250
E01003608,Newham 028D,5,2192,Newham,23.0,2.281021897810219,10.492700729927007,-0.782608695652174,0.782608695652174,lower_crime,lower_change
E01003609,Newham 037A,33,4543,Newham,44.0,7.263922518159807,9.685230024213075,-0.24999999999999994,0.24999999999999994,lower_crime,lower_change
E01003611,Newham 037C,30,2110,Newham,31.0,14.218009478672986,14.691943127962086,-0.03225806451612903,0.03225806451612903,lower_crime,lower_change
E01003615,Newham 013C,15,1941,Newham,29.0,7.727975270479135,14.940752189592994,-0.48275862068965514,0.48275862068965514,lower_crime,lower_change
